cmc_id,symbol,name,asset_class,chain,class,tx_repository,ch1_staking,ch2_holding,ch3_voting
30943,$MICHI,michi (SOL),other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
900,007,007Coin,other,,NO-IDENTITY,,no,no,no
28683,1000SATS,SATS,other,,NO-IDENTITY,,no,no,no
1109,1337,Elite,other,,NO-IDENTITY,,no,no,no
930,16BIT,16bit,other,,NO-IDENTITY,,no,no,no
33031,1MBABYDOGE,Baby Doge Coin,other,,NO-IDENTITY,,no,no,no
38515,2Z,DoubleZero,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
890,8BIT,8Bit,other,,NO-IDENTITY,,no,no,no
1706,ADK,Aidos Kuneen,other,,NO-IDENTITY,,no,no,no
34026,AI16Z,ai16z,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
7431,AKT,Akash Network,other,Osmosis,NonEVM-indexed,Mintscan/LCD,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
6957,ALBT,AllianceBlock,other,,NO-IDENTITY,,no,no,no
3260,AMO,AMO Coin,other,KAIA,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
115,APC,Applecoin,other,,NO-IDENTITY,,no,no,no
2767,APIS,APIS,other,,NO-IDENTITY,,no,no,no
2992,APL,Apollo Currency,other,,NO-IDENTITY,,no,no,no
1688,APX,APX,other,,NO-IDENTITY,,no,no,no
1624,ATMOS,Atmos,other,Vaulta,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
620,ATOMIC,ATOMIC,other,,NO-IDENTITY,,no,no,no
3620,ATP,Atlas Protocol,other,BNB Beacon Chain (BEP2),Obscure,varies,unknown,maybe,unknown
6216,AXEL,AXEL,other,,NO-IDENTITY,,no,no,no
1597,B@,Bankcoin,other,,NO-IDENTITY,,no,no,no
642,BANX,Banx,other,,NO-IDENTITY,,no,no,no
31369,BBTC,BounceBit BTC,other,BounceBit,EVM-non-Etherscan,chain Blockscout/RPC,per-contract (same method as Etherscan),yes (contract events),per-contract (same method as Etherscan)
1668,BCAP,BCAP,other,,NO-IDENTITY,,no,no,no
7686,BCHA,Bitcoin Cash ABC,other,,NO-IDENTITY,,no,no,no
2033,BCO,BridgeCoin,other,,NO-IDENTITY,,no,no,no
1771,BET,DAOBet,other,,NO-IDENTITY,,no,no,no
18736,BFIC,Blockchain Foundation for Innovation & Collaboration,other,,NO-IDENTITY,,no,no,no
926,BGCAFFE,Buongiorno Caffe,other,,NO-IDENTITY,,no,no,no
3966,BHD,BitcoinHD,other,,NO-IDENTITY,,no,no,no
3020,BHP,BHPCoin,other,,NO-IDENTITY,,no,no,no
562,BILS,BilShares,other,,NO-IDENTITY,,no,no,no
1057,BKS,BlockShares,other,,NO-IDENTITY,,no,no,no
729,BLITZ,Blitzcash,other,,NO-IDENTITY,,no,no,no
1374,BLOCKPAY,BlockPay,other,,NO-IDENTITY,,no,no,no
29870,BOME,BOOK OF MEME,other,Solana,NonEVM-indexed,Solscan/RPC,per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only,yes (transfer history via indexer),per-project program (Anchor/CosmWasm/Realms); native staking=gas-coin only
